x,ABP
18.419999999999998,92.344
18.44,91.558
18.46,90.798
18.48,90.056
18.5,89.329
18.52,88.616
18.540000000000003,87.92
18.560000000000002,87.239
18.580000000000002,86.575
18.6,85.926
18.62,85.291
18.64,84.669
18.66,84.059
18.68,83.461
18.7,82.876
18.72,82.301
18.740000000000002,81.738
18.76,81.184
18.78,80.641
18.8,81.142
18.82,91.55
18.84,102.235
18.86,110.889
18.88,116.885
18.9,119.691
18.919999999999998,119.025
18.94,114.913
18.96,107.597
18.98,104.326
19,102.857
19.02,101.251
19.040000000000003,99.73
19.060000000000002,98.463
19.080000000000002,97.446
19.1,96.566
19.12,95.718
19.14,94.855
19.16,93.985
19.18,93.131
19.2,92.312
19.22,91.526
19.240000000000002,90.767
19.26,90.026
19.28,89.299
19.3,88.587
19.32,87.891
19.34,87.212
19.36,86.548
19.38,85.9
19.4,85.265
19.419999999999998,84.643
19.44,84.034
19.46,83.437
19.48,82.851
19.5,82.277
19.52,81.714
19.540000000000003,81.162
19.560000000000002,80.619
19.580000000000002,81.426
19.6,91.994
19.62,102.615
19.64,111.176
19.66,117.057
19.68,119.731
19.7,118.928
19.72,114.686
19.740000000000002,107.252
19.76,104.272
19.78,102.797
19.8,101.19
19.82,99.676
19.84,98.421
19.86,97.411
19.88,96.534
19.9,95.685
19.919999999999998,94.822
19.94,93.952
19.96,93.099
19.98,92.281
20,91.497
20.02,90.738
20.040000000000003,89.998
20.060000000000002,89.272
20.080000000000002,88.561
20.1,87.865
20.12,87.186
20.14,86.523
20.16,85.875
20.18,85.241
20.2,84.62
20.22,84.011
20.240000000000002,83.414
20.26,82.829
20.28,82.256
20.3,81.693
20.32,81.14
20.34,80.598
20.36,81.709
20.38,92.434
20.4,102.991
20.419999999999998,111.459
20.44,117.224
20.46,119.766
20.48,118.826
20.5,114.455
20.52,106.902
20.540000000000003,104.216
20.560000000000002,102.735
20.580000000000002,101.127
20.6,99.621
20.62,98.377
20.64,97.374
20.66,96.5
20.68,95.651
20.7,94.787
20.72,93.917
20.740000000000002,93.066
20.76,92.249
20.78,91.466
20.8,90.709
20.82,89.969
20.84,89.243
20.86,88.532
20.88,87.837
20.9,87.159
20.919999999999998,86.497
20.94,85.849
20.96,85.216
20.98,84.595
21,83.986
21.02,83.39
21.040000000000003,82.806
21.060000000000002,82.233
21.080000000000002,81.67
21.1,81.118
21.12,80.576
21.14,82.034
21.16,92.876
21.18,103.364
21.2,111.739
21.22,117.386
21.240000000000002,119.795
21.26,118.719
21.28,114.218
21.3,106.599
21.32,104.161
21.34,102.673
21.36,101.064
21.38,99.567
21.4,98.333
21.419999999999998,97.338
21.44,96.466
21.46,95.617
21.48,94.753
21.5,93.883
21.52,93.033
21.540000000000003,92.217
21.560000000000002,91.436
21.580000000000002,90.679
21.6,89.94
21.62,89.215
21.64,88.504
21.66,87.81
21.68,87.132
21.7,86.471
21.72,85.824
21.740000000000002,85.191
21.76,84.57
21.78,83.962
21.8,83.367
21.82,82.783
21.84,82.21
21.86,81.648
21.88,81.096
21.9,80.555
21.919999999999998,82.371
21.94,93.314
21.96,103.734
21.98,112.014
22,117.543
22.020000000000003,119.818
22.04,118.606
22.060000000000002,113.976
22.080000000000002,106.367
22.1,104.107
22.12,102.612
22.14,101.003
22.16,99.515
22.180000000000003,98.291
22.2,97.304
